구분,소유구분,LEVEL1,값,년(Annual),증감,증감율,구성비,누계,누계구성비
울산광역시,종교단체,면적,11035977.5,2021,11035977.5,11035977.5,0,0,0
울산광역시,종교단체,지번수,1662,2021,1662,1662,0,0,0
울산광역시,기타단체,면적,11527804.4,2021,11527804.4,11527804.4,0,0,0
울산광역시,기타단체,지번수,2592,2021,2592,2592,0,0,0
울산광역시,기타,면적,1729341.6,2021,1729341.6,1729341.6,0,0,0
울산광역시,기타,지번수,553,2021,553,553,0,0,0
세종특별자치시,합계,면적,464918346.3,2021,464918346.3,464918346.3,0,0,0
세종특별자치시,합계,지번수,202153,2021,202153,202153,0,0,0
세종특별자치시,개인,면적,217341767.2,2021,217341767.2,217341767.2,0,0,0
세종특별자치시,개인,지번수,111960,2021,111960,111960,0,0,0
세종특별자치시,국유지,면적,80926314.3,2021,80926314.3,80926314.3,0,0,0
세종특별자치시,국유지,지번수,32136,2021,32136,32136,0,0,0
세종특별자치시,도유지,면적,28520838.7,2021,28520838.7,28520838.7,0,0,0
세종특별자치시,도유지,지번수,19994,2021,19994,19994,0,0,0
세종특별자치시,군유지,면적,19355.7,2021,19355.7,19355.7,0,0,0
세종특별자치시,군유지,지번수,21,2021,21,21,0,0,0
세종특별자치시,법인,면적,78675267.4,2021,78675267.4,78675267.4,0,0,0
세종특별자치시,법인,지번수,30070,2021,30070,30070,0,0,0
세종특별자치시,종중,면적,55002885.2,2021,55002885.2,55002885.2,0,0,0
세종특별자치시,종중,지번수,6490,2021,6490,6490,0,0,0
세종특별자치시,종교단체,면적,1497896.6,2021,1497896.6,1497896.6,0,0,0
세종특별자치시,종교단체,지번수,467,2021,467,467,0,0,0
세종특별자치시,기타단체,면적,250424.7,2021,250424.7,250424.7,0,0,0
세종특별자치시,기타단체,지번수,613,2021,613,613,0,0,0
세종특별자치시,기타,면적,2683596.5,2021,2683596.5,2683596.5,0,0,0
세종특별자치시,기타,지번수,402,2021,402,402,0,0,0
경기도,합계,면적,10196731502.8,2021,10196731502.8,10196731502.8,0,0,0
경기도,합계,지번수,5094677,2021,5094677,5094677,0,0,0
경기도,개인,면적,4748130882.3,2021,4748130882.3,4748130882.3,0,0,0
