"평가년도","도서관구분","도서관코드","도서관명","면적","시군구","장서수","사서수","대출자수","대출권수"
2014,"LIBTYPE002",2060111091,"성북구립 청수도서관","서울","성북구",27223,"3",61858,52971
2014,"LIBTYPE002",2060111006,"강북청소년문화정보도서관","서울","강북구",31625,"1",171893,52371
2014,"LIBTYPE002",2050141011,"경기평생교육학습관","경기","수원시 권선구",648012,"14",1113073,320052
2014,"LIBTYPE002",2060111073,"서대문구립홍은도담도서관","서울","서대문구",30236,"1",114137,99538
2014,"LIBTYPE002",2060131009,"약숫골도서관","울산","중구",16673,"2",312048,64508
2014,"LIBTYPE002",2060123003,"백령도서관","인천","옹진군",46182,"0",4952,5816
2014,"LIBTYPE002",2060123008,"서운도서관","인천","계양구",24960,"3",79395,19334
2014,"LIBTYPE002",2050146003,"남평공공도서관","전남","나주시",75774,"4",62482,37295
2014,"LIBTYPE002",2060146010,"광양시립중앙도서관","전남","광양시",219517,"7",218890,134454
2014,"LIBTYPE002",2060146002,"여수시립현암도서관","전남","여수시",175311,"2",213410,186444
2014,"LIBTYPE002",2050145012,"전라북도교육청무주도서관","전북","무주군",55334,"2",27799,22066
2014,"LIBTYPE002",2060145017,"군산시립도서관","전북","군산시",157789,"11",514593,218541
2014,"LIBTYPE002",2060141167,"수원시버드내도서관","경기","수원시 권선구",40116,"4",15022,5691
2014,"LIBTYPE002",2060145034,"순창군립도서관","전북","순창군",29774,"2",20024,11710
2014,"LIBTYPE002",2050144012,"충청남도예산교육지원청예산도서관","충남","예산군",90405,"2",142755,44216
2014,"LIBTYPE002",2060144002,"공주기적의도서관","충남","공주시",111057,"2",228206,174007
2014,"LIBTYPE002",2060144027,"추부도서관","충남","금산군",27021,"1",59649,16150
2014,"LIBTYPE002",2060144032,"태안군립중앙도서관","충남","태안군",24138,"2",28535,54228
2014,"LIBTYPE002",2050143012,"증평교육도서관","충북","증평군",68879,"3",167534,48470
2014,"LIBTYPE002",2060143022,"증평군립도서관","충북","증평군",32903,"1",187686,25931
2014,"LIBTYPE002",2030841002,"화홍어린이도서관","경기","수원시 팔달구",11423,"1",3354,1782
2014,"LIBTYPE002",2060141132,"김포시양곡도서관","경기","김포시",43878,"3",315370,210419
2014,"LIBTYPE002",2060841014,"광명시충현도서관","경기","광명시",67555,"2",153719,178390
2014,"LIBTYPE002",2060822004,"수성구립 물망이도서관","대구","수성구",23720,"1",42133,67968
2014,"LIBTYPE002",2060811001,"노원어린이도서관","서울","노원구",82180,"4",471700,250247
2014,"LIBTYPE002",2060823003,"석남어린이도서관","인천","서구",61921,"3",536431,315750
2014,"LIBTYPE002",2060141175,"오산시초평도서관","경기","오산시",34699,"1",61860,40350
2014,"LIBTYPE002",2050111006,"서울특별시교육청구로도서관","서울","구로구",128689,"12",718855,210245
2014,"LIBTYPE002",2050111015,"서울특별시교육청정독도서관","서울","종로구",515519,"36",1923659,365388
2014,"LIBTYPE002",2050121002,"부산광역시립중앙도서관","부산","중구",290643,"16",626301,224181
2014,"LIBTYPE002",2050121011,"부산광역시립연산도서관","부산","연제구",142086,"8",448890,409839
2014,"LIBTYPE002",2050122005,"대구광역시립남부도서관","대구","남구",277797,"11",883584,242627
2014,"LIBTYPE002",2050122012,"대구학생문화센터","대구","달서구",85986,"2",191015,101523
2014,"LIBTYPE002",2050123002,"인천광역시교육청중앙도서관","인천","남동구",301993,"14",1031682,321910
2014,"LIBTYPE002",2060111012,"구로꿈나무도서관","서울","구로구",70489,"0",68863,71830
2014,"LIBTYPE002",2060111021,"정다운도서관","서울","강남구",42301,"1",207288,90094
2014,"LIBTYPE002",2060111029,"성현동작은도서관","서울","관악구",38529,"2",58893,32547
2014,"LIBTYPE002",2060111037,"문래정보문화도서관","서울","영등포구",45533,"5",474624,130881
2014,"LIBTYPE002",2060111047,"중곡문화체육센터도서관","서울","광진구",59674,"4",468250,311437
2014,"LIBTYPE002",2060111056,"청파도서관","서울","용산구",23130,"1",27221,21746
2014,"LIBTYPE002",2060111065,"하늘도서관","서울","구로구",23670,"0",88153,18638
2014,"LIBTYPE002",2060111072,"조원도서관","서울","관악구",38847,"4",90157,72224
2014,"LIBTYPE002",2060111078,"서울도서관","서울","중구",279229,"24",4349438,354356
2014,"LIBTYPE002",2060811013,"글마루한옥어린이도서관","서울","구로구",22767,"0",84525,90583
2014,"LIBTYPE002",2060811005,"강서꿈꾸는어린이도서관","서울","강서구",41493,"4",264704,179051
2014,"LIBTYPE002",2060811014,"중랑숲어린이도서관","서울","중랑구",35644,"3",103859,69156
2014,"LIBTYPE002",2060811015,"휘경어린이도서관","서울","동대문구",7600,"2",21574,11300
2014,"LIBTYPE002",2060111045,"도봉아이나라도서관","서울","도봉구",67255,"3",141270,156967
2014,"LIBTYPE002",2060811003,"강서길꽃어린이도서관","서울","강서구",36358,"2",171650,103802
2014,"LIBTYPE002",2060811007,"해오름도서관","서울","성북구",34801,"3",126549,120817
2014,"LIBTYPE002",2060811002,"구립서초어린이도서관","서울","서초구",66348,"3",60291,106634
2014,"LIBTYPE002",2060811010,"무수골도서관","서울","도봉구",23475,"2",42380,21697
2014,"LIBTYPE002",2060831002,"명촌어린이도서관","울산","북구",19283,"1",69478,42093
2014,"LIBTYPE002",2060831003,"옥현어린이도서관","울산","남구",15082,"2",106465,14024
2014,"LIBTYPE002",2060831001,"울산북구기적의도서관","울산","북구",48392,"2",133741,44702
2014,"LIBTYPE002",2060823009,"심곡어린이도서관","인천","서구",64961,"4",238548,247399
2014,"LIBTYPE002",2060823006,"숭의어린이도서관","인천","남구",13343,"0",19988,13474
2014,"LIBTYPE002",2060823008,"쑥골어린이도서관","인천","남구",13149,"0",25620,9468
2014,"LIBTYPE002",2060823007,"독정골어린이도서관","인천","남구",13149,"0",22800,12027
2014,"LIBTYPE002",2060823005,"관교어린이도서관","인천","남구",34563,"0",51196,30241
2014,"LIBTYPE002",2060823001,"부평기적의도서관","인천","부평구",57960,"4",199302,101764
2014,"LIBTYPE002",2060823002,"연수어린이도서관","인천","연수구",62869,"1",203965,140194
2014,"LIBTYPE002",2060823012,"장사래어린이도서관","인천","남구",12572,"0",54000,17568
